id,edsm_id,name,x,y,z,population,is_populated,government_id,government,allegiance_id,allegiance,state_id,state,security_id,security,primary_economy_id,primary_economy,power,power_state,power_state_id,needs_permit,updated_at,simbad_ref,controlling_minor_faction_id,controlling_minor_faction,reserve_type_id,reserve_type
2884,12494,Caraceni,-49.40625,63.6875,-49.3125,39469674,1,96,Democracy,1,Alliance,80,None,48,High,4,Industrial,"Edmund Mahon",Control,16,0,1497275498,,48948,"Movement for Caraceni Future",,
2915,13387,Carnsan,-69.4375,42,-52.4375,14710155,1,96,Democracy,1,Alliance,16,Boom,48,High,4,Industrial,,,,0,1497205458,,58832,"Future of Udegoci",,
9140,5001,Hongbiri,-115.53125,1.9375,-97.40625,3296,1,48,Confederacy,4,Independent,80,None,16,Low,11,Colony,,,,0,1497199940,,42991,"Hongbiri Confederacy",2,Major
21031,25212,Liabefa,-77,39,-56,0,0,176,None,5,None,80,None,16,Low,10,None,,,,0,1496675154,,,,,
13288,6799,Mapocori,-115.5625,5.75,-91.6875,12420037,1,64,Corporate,4,Independent,80,None,32,Medium,4,Industrial,,,,0,1497203907,,42990,"Mapocori Holdings",2,Major
14917,8441,Ogminegalku,-127.375,3.125,-97.78125,45769,1,64,Corporate,4,Independent,37,Famine,16,Low,6,Refinery,,,,0,1495398383,,57898,"Ogminegalku Power Partners",,
14960,15691,Olgrea,-28.125,68.28125,-6.375,2394657254,1,64,Corporate,1,Alliance,80,None,48,High,1,Agriculture,"Edmund Mahon",Exploited,32,0,1497315364,,47487,"Olgrea Central PLC",,
17787,6329,Tirada,-56.09375,55.25,-43.09375,28080,1,64,Corporate,1,Alliance,80,None,16,Low,6,Refinery,"Edmund Mahon",Exploited,32,0,1496960097,,47471,"Tirada Jet Comms Limited",,
18149,9576,Udegoci,-70,51.71875,-54.5,21719994,1,96,Democracy,1,Alliance,16,Boom,32,Medium,3,"High Tech",,,,0,1497302386,,58832,"Future of Udegoci",,
18686,10503,Vukuapa,-63.875,64.84375,-47.25,1672,1,64,Corporate,1,Alliance,80,None,16,Low,11,Colony,"Edmund Mahon",Exploited,32,0,1497121252,,47471,"Tirada Jet Comms Limited",,
19750,18923,Zenmaku,-90.46875,19.375,-62.71875,2488,1,48,Confederacy,3,Federation,72,Outbreak,16,Low,2,Extraction,,,,0,1496982931,,41263,"Zenmaku Alliance",,
19883,23395,"48 Cassiopeiae",-88.3125,18.28125,-71.40625,0,0,176,None,5,None,80,None,16,Low,10,None,,,,0,1496363562,"48 Cassiopeiae",,,,
140547,270513,"BD+64 314",-171.84375,18.5,-155.03125,0,0,176,None,5,None,80,None,16,Low,10,None,,,,0,1495799933,,,,,
2041,3374,"BD+72 545",-48.375,61.71875,-40.21875,9096781,1,112,Dictatorship,1,Alliance,80,None,48,High,4,Industrial,"Edmund Mahon",Exploited,32,0,1497096146,"BD+72 545",14987,"United BD+72 545 Conservatives",,
21521,23633,"Bei Dou Sector CQ-Y b4",-44.625,55.125,-38.53125,0,0,176,None,5,None,80,None,16,Low,10,None,,,,0,1497206093,,,,,
20021,23639,"Bei Dou Sector FW-W b1-2",-49,66.3125,-16.8125,0,0,176,None,5,None,80,None,16,Low,10,None,,,,0,1497231300,,,,,
2863,9659,"Cao Junga",-139.4375,7.46875,-108.53125,40297,1,96,Democracy,3,Federation,80,None,32,Medium,6,Refinery,,,,0,1497077106,,1663,"Cao Junga Republic Party",,
21968,23695,"Cephei Sector BA-A d95",-96.84375,9,-76.875,0,0,176,None,5,None,80,None,16,Low,10,None,,,,0,1497294223,,,,,
42126,102956,"Cephei Sector CA-A c19",-104.5625,10.90625,-79.625,0,0,176,None,5,None,80,None,16,Low,10,None,,,,0,1497199938,,,,,
